artist,uri,danceability,energy,tempo
Montgomery Gentry,spotify:track:4GiXBCUF7H6YfNQsnBRIzl,0.578,0.471,133.061
Pretty Ricky,spotify:track:1zyqZONW985Cs4osz9wlsu,0.7040000000000001,0.8540000000000001,92.988
Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,86.964
Zwartketterij,spotify:track:2IjBPp2vMeX7LggzRN3iSX,0.188,0.994,148.44
Billy Currington,spotify:track:1tF370eYXUcWwkIvaq3IGz,0.63,0.764,112.098
State Of Art,spotify:track:5Z3nrC0JbJmXaOGiXTuNFk,0.726,0.8370000000000001,135.347
Blacklisted,spotify:track:0iAdSLiQBIizTAiLUP7p5E,0.365,0.922,77.25
Alan Jackson,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,0.726,0.631,124.711
Tim McGraw,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,0.481,0.7859999999999999,153.105
Say Anything,spotify:track:3pjnCLIHbRczUjenWOEo56,0.647,0.324,124.213
Frankee,spotify:track:7jElrCgQJBcVLsbMRKni2t,0.787,0.632,141.026
Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0.491,0.7759999999999999,154.988
Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,94.028
Phil Vassar,spotify:track:23qDMWnwf8p0pr5slljB6i,0.725,0.733,100.311
Kartar Ramla,spotify:track:7KA8tQVcGqCHHdGwSCRi6v,0.4970000000000001,0.421,92.19
Ham,spotify:track:6mGnxmegYYJA2TkhXCbOkb,0.509,0.942,169.96
Montgomery Gentry,spotify:track:2Wt173KM9i97KSB52qCuqj,0.708,0.728,119.881
The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.518,0.916,109.864
Tito Schipa,spotify:track:1YJ7qQEFIkh2r8VEb5X8lp,0.395,0.248,85.17399999999998
Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,0.378,0.953,167.808
Big Punisher Featuring Donell Jones,spotify:track:5NQdweL8O7nGdM7e4IS1lf,0.9,0.593,92.946
The Mahones,spotify:track:2lAbqS3XIaHpZyhwW3pMjg,0.329,0.812,165.013
Clubroot,spotify:track:4wuqqKXIbFBB8MX0EYpj96,0.389,0.598,140.002
Fat Joe Featuring Lil Wayne,spotify:track:1Ji8DhJGIQuV9kBiTgcChh,0.7440000000000001,0.6970000000000001,149.28
The Fiery Furnaces,spotify:track:257xjCQOUQaSOwQWw9fTe1,0.723,0.785,128.03
The Clean,spotify:track:5HKa6wcKiCxpBDSt3sY0mk,0.56,0.8079999999999999,128.05100000000002
Reba McEntire,spotify:track:46a3BjDPBdi6OngVhTkuM6,0.643,0.391,143.786
